Site_ID,Planned_Kiosk_Type,Installation_Status,PPT_ID,Legacy_ID,Borough,Council_District,Community_Board,Street_Address,Cross_Street_1,Cross_Street_2,IxN_Corner,Postcode,Zoning,Latitude,Longitude,Installation_Complete,Activation_Complete,Neighborhood_Tabulation_Area_(NTA),Building_Identification_Number_(BIN),Borough-Block-Lot_(BBL),Census_Tract_(CT),Location
mn-04-135797,Link1.0,Live,135797,80346,Manhattan,3,104,656 10 AVENUE,WEST 46 STREET,WEST 47 STREET,NE,10036,C2-5,40.762336,-73.993368,8/23/18,1/25/19,Clinton,1081664,1010560001,1012700,"(40.762336, -73.993368)"
mn-07-134602,Link1.0,Live,134602,mn-07-134602,Manhattan,7,107,748 AMSTERDAM AVENUE,WEST 97 STREET,WEST 96 STREET,SW,10025,C1-5,40.794673,-73.970051,9/25/17,3/20/18,Upper West Side,1056062,1018680029,1018300,"(40.794673, -73.970051)"
qu-12-152196,Link1.0,Live,,,Queens,24,412,160-10 89 AVENUE,89TH AVENUE,90TH AVENUE,SW,11432,C4-5X,40.706233,-73.799947,9/24/22,5/25/23,Jamaica,,4097580021,446.01,"(40.706233, -73.799947)"
mn-06-121535,Link1.0,Live,121535,mn-06-121535,Manhattan,4,106,685 3 AVENUE,EAST 43 STREET,EAST 44 STREET,NE,10017,C5-3,40.751497,-73.973765,7/19/16,7/21/16,Turtle Bay-East Midtown,1037555,1013170001,1008800,"(40.751497, -73.973765)"
bx-05-152147,Link5G_Ad,Live,,,Bronx,15,205,219 EAST BURNSIDE AVENUE,EAST BURNSIDE AVENUE,ANTHONY AVENUE,NE,10457,C1-4,40.852025,-73.902654,2/27/23,5/9/23,Mount Hope,,2031560034,,"(40.852025, -73.902654)"
mn-08-120850,Link1.0,Live,120850,mn-08-120850,Manhattan,5,108,1494 1 AVENUE,EAST 78 STREET,EAST 77 STREET,SE,10075,C1-9,40.771526,-73.953138,1/25/18,5/10/18,Lenox Hill-Roosevelt Island,1046006,1014720047,1013200,"(40.771526, -73.953138)"
bx-05-146094,Link1.0,Live,146094,LINK-019312,Bronx,14,205,2 CLIFFORD PLACE,JEROME AVENUE,TOWSEND AVENUE,SE,10453,C8-3,40.846434,-73.912958,6/20/18,7/13/18,Mount Hope,2008155,2028480016,2022701,"(40.846434, -73.912958)"
bk-09-126563,Link5G_Ad,Live,126563,LINK-002453,Brooklyn,40,309,660 FLATBUSH AVENUE,HAWTHORNE STREET,WESTBURY COURT,MIDBLOCK,11225,C1-3,40.657164,-73.960338,10/29/22,1/26/23,Prospect Lefferts Gardens-Wingate,3114641,3050260223,3079802,"(40.657164, -73.960338)"
mn-06-121789,Link1.0,Live,121789,mn-06-121789,Manhattan,4,106,252 EAST 52 STREET,2 AVENUE,3 AVENUE,SW,10022,C1-9,40.756174,-73.967829,2/3/18,2/4/19,Turtle Bay-East Midtown,1038476,1013250031,1009800,"(40.756174, -73.967829)"
mn-09-100231,Link1.0,Live,100231,mn-09-100231,Manhattan,7,109,500 WEST 148 STREET,AMSTERDAM AVENUE,BROADWAY,SW,10031,C1-4,40.827196,-73.946441,7/19/16,8/22/16,Hamilton Heights,1061989,1020790036,1023300,"(40.827196, -73.946441)"
