Site ID,Planned Kiosk Type,Installation Status,Street Address,Location,Borough,Installation Complete
bx-01-145917,Link1.0,Live,200 EAST 138 STREET,"(40.812441, -73.92925)",Bronx,08/31/2017
mn-07-134709,Link1.0,Live,715 COLUMBUS AVENUE,"(40.791763, -73.96819)",Manhattan,04/30/2018
bk-01-145999,Link1.0,Live,31 NASSAU AVENUE,"(40.723014, -73.953234)",Brooklyn,11/22/2017
mn-03-123344,Link5G_Ad,Live,357 GRAND STREET,"(40.716484, -73.989156)",Manhattan,07/26/2022
mn-05-108040,Link1.0,Live,131 EAST 27 STREET,"(40.742139, -73.983048)",Manhattan,02/04/2017
mn-05-121636,Link1.0,Live,23 EAST 28 STREET,"(40.743962, -73.985428)",Manhattan,08/12/2017
bx-07-119728,Link1.0,Live,247 EAST 198 STREET,"(40.869184, -73.889213)",Bronx,12/09/2021
mn-05-122814,Link1.0,Live,1100 6 AVENUE,"(40.754951, -73.983899)",Manhattan,07/29/2017
qu-12-156461,Link5G_Ad,Live,204-01 HOLLIS AVENUE,"(40.70687, -73.753916)",Queens,02/21/2023
bx-01-146056,Link1.0,Live,520 BROOK AVENUE,"(40.814394, -73.915181)",Bronx,02/12/2018
bx-01-102011,Link1.0,Live,417 EAST 138 STREET,"(40.80891, -73.922209)",Bronx,04/19/2018
bx-07-100074,Link5G_Ad,Live,105 EAST 198 STREET,"(40.870613, -73.891648)",Bronx,10/07/2022
bk-01-146015,Link1.0,Live,219 GRAND STREET,"(40.713851, -73.95954)",Brooklyn,12/08/2017
mn-06-121692,Link1.0,Live,1026 1 AVENUE,"(40.757701, -73.963213)",Manhattan,10/25/2017
mn-11-107915,Link1.0,Live,2022 3 AVENUE,"(40.794911, -73.942397)",Manhattan,07/02/2016
mn-06-133439,Link1.0,Live,675 3 AVENUE,"(40.750966, -73.974148)",Manhattan,07/19/2016
mn-05-122442,Link1.0,Live,362 7 AVENUE,"(40.748615, -73.992489)",Manhattan,10/08/2016
mn-04-134450,Link1.0,Live,74 7 AVENUE,"(40.739156, -73.999381)",Manhattan,05/12/2018
bk-01-125263,Link1.0,Live,1007 MANHATTAN AVENUE,"(40.7334, -73.954886)",Brooklyn,03/11/2017
